"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","GADD45A","0.609403652312666",1
"2","DNA_thresholded_100","GADD45A","0.847449044262579",1
"3","DNA_thresholded_200","GADD45A","0.97634548380801",1
"4","DNA_thresholded_300","GADD45A, YY1","0.974496390522823",1
"5","DNA_thresholded_400","GADD45A, YY1","0.994778369715157",1
"6","DNA_thresholded_477","GADD45A, YY1, TP73, TRIM28","0.972488190129226",1
"7","ERS_thresholded_050","GSK3A","0.607525817045026",1
"8","ERS_thresholded_100","GSK3A","0.845243563034069",1
"9","ERS_thresholded_200","GSK3A","0.975253478150063",1
"10","ERS_thresholded_300","GSK3A, EP300, FKBP1A","0.906577614588451",1
"11","ERS_thresholded_400","GSK3A, EP300, FKBP1A","0.974139378448358",1
"12","ERS_thresholded_477","GSK3A, EP300, FKBP1A","0.99095313918435",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","PRKACA, MTOR","0.551291684899699",1
"15","HTS_thresholded_200","PRKACA, MTOR, CDKN1A, HSP90AB1, CREBBP, MAPK1, MAPK3","0.0663773256993834",1
"16","HTS_thresholded_300","PRKACA, MTOR, CDKN1A, HSP90AB1, CREBBP, MAPK1, MAPK3","0.276347124196061",1
"17","HTS_thresholded_400","PRKACA, MTOR, CDKN1A, HSP90AB1, CREBBP, MAPK1, MAPK3, SIRT1, EP300","0.251353038216663",1
"18","HTS_thresholded_477","PRKACA, MTOR, CDKN1A, HSP90AB1, CREBBP, MAPK1, MAPK3, SIRT1, EP300, FKBP1A, AKT1, FOXO1, FOS","0.0572482713503606",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","NFKB1","0.846631949963155",1
"21","HYP_thresholded_200","NFKB1","0.976270038720278",1
"22","HYP_thresholded_300","NFKB1, TGFB1","0.974224177940534",1
"23","HYP_thresholded_400","NFKB1, TGFB1, NR3C1","0.976124323522467",1
"24","HYP_thresholded_477","NFKB1, TGFB1, NR3C1, ARNT, CDKN1A, MYOD1","0.846415975328137",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","ATF1","0.999800698163064",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","GATA6","0.845406857242271",1
"33","OXD_thresholded_200","GATA6, SMAD3","0.883581274332943",1
"34","OXD_thresholded_300","GATA6, SMAD3, STAT1","0.909315914244452",1
"35","OXD_thresholded_400","GATA6, SMAD3, STAT1","0.97460570365355",1
"36","OXD_thresholded_477","GATA6, SMAD3, STAT1, SIRT1, ARNT","0.919695287837046",1
